id,created_at,partner_id,city_id,year,number_diapers,number_children,percentage,month,changed
12698,2026-04-12 16:09:23.738529+00,6,30,2025,129,,0.02,February,false
12699,2026-04-12 16:09:23.738529+00,6,13,2025,6111,,0.95,February,false
12700,2026-04-12 16:09:23.738529+00,6,27,2025,191,,0.03,March,false
12701,2026-04-12 16:09:23.738529+00,6,30,2025,128,,0.02,March,false
12702,2026-04-12 16:09:23.738529+00,6,13,2025,6060,,0.95,March,false
12703,2026-04-12 16:09:23.738529+00,6,27,2025,189,,0.03,April,false
12704,2026-04-12 16:09:23.738529+00,6,30,2025,126,,0.02,April,false
12705,2026-04-12 16:09:23.738529+00,6,13,2025,5993,,0.95,April,false
12706,2026-04-12 16:09:23.738529+00,6,27,2025,135,,0.03,May,false
12707,2026-04-12 16:09:23.738529+00,6,30,2025,90,,0.02,May,false
12708,2026-04-12 16:09:23.738529+00,6,13,2025,4278,,0.95,May,false
12709,2026-04-12 16:09:23.738529+00,6,27,2025,212,,0.03,June,false
12710,2026-04-12 16:09:23.738529+00,6,30,2025,141,,0.02,June,false
12711,2026-04-12 16:09:23.738529+00,6,13,2025,6713,,0.95,June,false
12712,2026-04-12 16:09:23.738529+00,6,27,2025,133,,0.03,July,false
12713,2026-04-12 16:09:23.738529+00,6,30,2025,89,,0.02,July,false
12714,2026-04-12 16:09:23.738529+00,6,13,2025,4214,,0.95,July,false
12715,2026-04-12 16:09:23.738529+00,6,27,2025,141,,0.03,August,false
12716,2026-04-12 16:09:23.738529+00,6,30,2025,94,,0.02,August,false
12717,2026-04-12 16:09:23.738529+00,6,13,2025,4470,,0.95,August,false
12718,2026-04-12 16:09:23.738529+00,6,27,2025,132,,0.03,September,false
12719,2026-04-12 16:09:23.738529+00,6,30,2025,88,,0.02,September,false
12720,2026-04-12 16:09:23.738529+00,6,13,2025,4187,,0.95,September,false
12721,2026-04-12 16:09:23.738529+00,6,27,2025,48,,0.03,October,false
12722,2026-04-12 16:09:23.738529+00,6,30,2025,32,,0.02,October,false
12723,2026-04-12 16:09:23.738529+00,6,13,2025,1520,,0.95,October,false
12724,2026-04-12 16:09:23.738529+00,6,27,2025,333,,0.03,November,false
12725,2026-04-12 16:09:23.738529+00,6,30,2025,222,,0.02,November,false
12726,2026-04-12 16:09:23.738529+00,6,13,2025,10543,,0.95,November,false
12727,2026-04-12 16:09:23.738529+00,6,27,2025,132,,0.03,December,false
12728,2026-04-12 16:09:23.738529+00,6,30,2025,88,,0.02,December,false
12729,2026-04-12 16:09:23.738529+00,6,13,2025,4184,,0.95,December,false
12730,2026-04-12 16:09:23.738529+00,3,14,2025,35,,0.01,January,false
12731,2026-04-12 16:09:23.738529+00,3,24,2025,35,,0.01,January,false
12732,2026-04-12 16:09:23.738529+00,3,4,2025,35,,0.01,January,false
12733,2026-04-12 16:09:23.738529+00,3,11,2025,879,,0.25,January,false
12734,2026-04-12 16:09:23.738529+00,3,13,2025,2460,,0.7,January,false
12735,2026-04-12 16:09:23.738529+00,3,25,2025,0,,0,January,false
12736,2026-04-12 16:09:23.738529+00,3,26,2025,35,,0.01,January,false
12737,2026-04-12 16:09:23.738529+00,3,18,2025,35,,0.01,January,false
12738,2026-04-12 16:09:23.738529+00,3,14,2025,54,,0.01,February,false
12739,2026-04-12 16:09:23.738529+00,3,24,2025,54,,0.01,February,false
12740,2026-04-12 16:09:23.738529+00,3,4,2025,54,,0.01,February,false
12741,2026-04-12 16:09:23.738529+00,3,11,2025,1339,,0.25,February,false
12742,2026-04-12 16:09:23.738529+00,3,13,2025,3749,,0.7,February,false
12743,2026-04-12 16:09:23.738529+00,3,25,2025,0,,0,February,false
12744,2026-04-12 16:09:23.738529+00,3,26,2025,54,,0.01,February,false
12745,2026-04-12 16:09:23.738529+00,3,18,2025,54,,0.01,February,false
12746,2026-04-12 16:09:23.738529+00,3,14,2025,30,,0.01,March,false
12747,2026-04-12 16:09:23.738529+00,3,24,2025,30,,0.01,March,false
12748,2026-04-12 16:09:23.738529+00,3,4,2025,30,,0.01,March,false
12749,2026-04-12 16:09:23.738529+00,3,11,2025,762,,0.25,March,false
12750,2026-04-12 16:09:23.738529+00,3,13,2025,2132,,0.7,March,false
12751,2026-04-12 16:09:23.738529+00,3,25,2025,0,,0,March,false
12752,2026-04-12 16:09:23.738529+00,3,26,2025,30,,0.01,March,false
12753,2026-04-12 16:09:23.738529+00,3,18,2025,30,,0.01,March,false
12754,2026-04-12 16:09:23.738529+00,3,14,2025,32,,0.01,April,false
12755,2026-04-12 16:09:23.738529+00,3,24,2025,32,,0.01,April,false
12756,2026-04-12 16:09:23.738529+00,3,4,2025,32,,0.01,April,false
12757,2026-04-12 16:09:23.738529+00,3,11,2025,812,,0.25,April,false
12758,2026-04-12 16:09:23.738529+00,3,13,2025,2274,,0.7,April,false
12759,2026-04-12 16:09:23.738529+00,3,25,2025,0,,0,April,false
12760,2026-04-12 16:09:23.738529+00,3,26,2025,32,,0.01,April,false
12761,2026-04-12 16:09:23.738529+00,3,18,2025,32,,0.01,April,false
12762,2026-04-12 16:09:23.738529+00,3,14,2025,50,,0.01,May,false
12763,2026-04-12 16:09:23.738529+00,3,24,2025,50,,0.01,May,false
12764,2026-04-12 16:09:23.738529+00,3,4,2025,50,,0.01,May,false
12765,2026-04-12 16:09:23.738529+00,3,11,2025,1243,,0.25,May,false
12766,2026-04-12 16:09:23.738529+00,3,13,2025,3479,,0.7,May,false
12767,2026-04-12 16:09:23.738529+00,3,25,2025,0,,0,May,false
12768,2026-04-12 16:09:23.738529+00,3,26,2025,50,,0.01,May,false
12769,2026-04-12 16:09:23.738529+00,3,18,2025,50,,0.01,May,false
12770,2026-04-12 16:09:23.738529+00,3,14,2025,44,,0.01,June,false
12771,2026-04-12 16:09:23.738529+00,3,24,2025,44,,0.01,June,false
12772,2026-04-12 16:09:23.738529+00,3,4,2025,44,,0.01,June,false
12773,2026-04-12 16:09:23.738529+00,3,11,2025,1101,,0.25,June,false
12774,2026-04-12 16:09:23.738529+00,3,13,2025,3081,,0.7,June,false
12775,2026-04-12 16:09:23.738529+00,3,25,2025,0,,0,June,false
12776,2026-04-12 16:09:23.738529+00,3,26,2025,44,,0.01,June,false
12777,2026-04-12 16:09:23.738529+00,3,18,2025,44,,0.01,June,false
12778,2026-04-12 16:09:23.738529+00,3,14,2025,8,,0.01,July,false
12779,2026-04-12 16:09:23.738529+00,3,24,2025,8,,0.01,July,false
12780,2026-04-12 16:09:23.738529+00,3,4,2025,8,,0.01,July,false
12781,2026-04-12 16:09:23.738529+00,3,11,2025,200,,0.25,July,false
12782,2026-04-12 16:09:23.738529+00,3,13,2025,560,,0.7,July,false
12783,2026-04-12 16:09:23.738529+00,3,25,2025,0,,0,July,false
12784,2026-04-12 16:09:23.738529+00,3,26,2025,8,,0.01,July,false
12785,2026-04-12 16:09:23.738529+00,3,18,2025,8,,0.01,July,false
12786,2026-04-12 16:09:23.738529+00,3,14,2025,58,,0.01,August,false
12787,2026-04-12 16:09:23.738529+00,3,24,2025,58,,0.01,August,false
12788,2026-04-12 16:09:23.738529+00,3,4,2025,58,,0.01,August,false
12789,2026-04-12 16:09:23.738529+00,3,11,2025,1441,,0.25,August,false
12790,2026-04-12 16:09:23.738529+00,3,13,2025,4036,,0.7,August,false
12791,2026-04-12 16:09:23.738529+00,3,25,2025,0,,0,August,false
12792,2026-04-12 16:09:23.738529+00,3,26,2025,58,,0.01,August,false
12793,2026-04-12 16:09:23.738529+00,3,18,2025,58,,0.01,August,false
12794,2026-04-12 16:09:23.738529+00,3,14,2025,56,,0.01,September,false
12795,2026-04-12 16:09:23.738529+00,3,24,2025,56,,0.01,September,false
12796,2026-04-12 16:09:23.738529+00,3,4,2025,56,,0.01,September,false
12797,2026-04-12 16:09:23.738529+00,3,11,2025,1407,,0.25,September,false
