year,month,partner_id,Partner Name,Total Num Diapers,City,city_id,percentage,number_diapers
2025,August,6,Middlesex Human Service Agency (MHSA),4705,Mattapan,30,0.02,94
2025,August,6,Middlesex Human Service Agency (MHSA),4705,Waltham,13,0.95,4470
2025,September,6,Middlesex Human Service Agency (MHSA),4407,Dorchester,27,0.03,132
2025,September,6,Middlesex Human Service Agency (MHSA),4407,Mattapan,30,0.02,88
2025,September,6,Middlesex Human Service Agency (MHSA),4407,Waltham,13,0.95,4187
2025,October,6,Middlesex Human Service Agency (MHSA),400,Dorchester,27,0.03,12
2025,October,6,Middlesex Human Service Agency (MHSA),400,Mattapan,30,0.02,8
2025,October,6,Middlesex Human Service Agency (MHSA),400,Waltham,13,0.95,380
2025,November,6,Middlesex Human Service Agency (MHSA),10698,Dorchester,27,0.03,321
2025,November,6,Middlesex Human Service Agency (MHSA),10698,Mattapan,30,0.02,214
2025,November,6,Middlesex Human Service Agency (MHSA),10698,Waltham,13,0.95,10163
2025,December,6,Middlesex Human Service Agency (MHSA),4404,Dorchester,27,0.03,132
2025,December,6,Middlesex Human Service Agency (MHSA),4404,Mattapan,30,0.02,88
2025,December,6,Middlesex Human Service Agency (MHSA),4404,Waltham,13,0.95,4184
2025,January,3,Family ACCESS,3514,Arlington,14,0.01,35
2025,January,3,Family ACCESS,3514,Burlington,24,0.01,35
2025,January,3,Family ACCESS,3514,Lexington,4,0.01,35
2025,January,3,Family ACCESS,3514,Newton,11,0.25,879
2025,January,3,Family ACCESS,3514,Waltham,13,0.7,2460
2025,January,3,Family ACCESS,3514,Wayland,25,0,0
2025,January,3,Family ACCESS,3514,Wellesley,26,0.01,35
2025,January,3,Family ACCESS,3514,Woburn,18,0.01,35
2025,February,3,Family ACCESS,5356,Arlington,14,0.01,54
2025,February,3,Family ACCESS,5356,Burlington,24,0.01,54
2025,February,3,Family ACCESS,5356,Lexington,4,0.01,54
2025,February,3,Family ACCESS,5356,Newton,11,0.25,1339
2025,February,3,Family ACCESS,5356,Waltham,13,0.7,3749
2025,February,3,Family ACCESS,5356,Wayland,25,0,0
2025,February,3,Family ACCESS,5356,Wellesley,26,0.01,54
2025,February,3,Family ACCESS,5356,Woburn,18,0.01,54
2025,March,3,Family ACCESS,3046,Arlington,14,0.01,30
2025,March,3,Family ACCESS,3046,Burlington,24,0.01,30
2025,March,3,Family ACCESS,3046,Lexington,4,0.01,30
2025,March,3,Family ACCESS,3046,Newton,11,0.25,762
2025,March,3,Family ACCESS,3046,Waltham,13,0.7,2132
2025,March,3,Family ACCESS,3046,Wayland,25,0,0
2025,March,3,Family ACCESS,3046,Wellesley,26,0.01,30
2025,March,3,Family ACCESS,3046,Woburn,18,0.01,30
2025,April,3,Family ACCESS,3249,Arlington,14,0.01,32
2025,April,3,Family ACCESS,3249,Burlington,24,0.01,32
2025,April,3,Family ACCESS,3249,Lexington,4,0.01,32
2025,April,3,Family ACCESS,3249,Newton,11,0.25,812
2025,April,3,Family ACCESS,3249,Waltham,13,0.7,2274
2025,April,3,Family ACCESS,3249,Wayland,25,0,0
2025,April,3,Family ACCESS,3249,Wellesley,26,0.01,32
2025,April,3,Family ACCESS,3249,Woburn,18,0.01,32
2025,May,3,Family ACCESS,4970,Arlington,14,0.01,50
2025,May,3,Family ACCESS,4970,Burlington,24,0.01,50
2025,May,3,Family ACCESS,4970,Lexington,4,0.01,50
2025,May,3,Family ACCESS,4970,Newton,11,0.25,1243
2025,May,3,Family ACCESS,4970,Waltham,13,0.7,3479
2025,May,3,Family ACCESS,4970,Wayland,25,0,0
2025,May,3,Family ACCESS,4970,Wellesley,26,0.01,50
2025,May,3,Family ACCESS,4970,Woburn,18,0.01,50
2025,June,3,Family ACCESS,4402,Arlington,14,0.01,44
2025,June,3,Family ACCESS,4402,Burlington,24,0.01,44
2025,June,3,Family ACCESS,4402,Lexington,4,0.01,44
2025,June,3,Family ACCESS,4402,Newton,11,0.25,1101
2025,June,3,Family ACCESS,4402,Waltham,13,0.7,3081
2025,June,3,Family ACCESS,4402,Wayland,25,0,0
2025,June,3,Family ACCESS,4402,Wellesley,26,0.01,44
2025,June,3,Family ACCESS,4402,Woburn,18,0.01,44
2025,July,3,Family ACCESS,800,Arlington,14,0.01,8
2025,July,3,Family ACCESS,800,Burlington,24,0.01,8
2025,July,3,Family ACCESS,800,Lexington,4,0.01,8
2025,July,3,Family ACCESS,800,Newton,11,0.25,200
2025,July,3,Family ACCESS,800,Waltham,13,0.7,560
2025,July,3,Family ACCESS,800,Wayland,25,0,0
2025,July,3,Family ACCESS,800,Wellesley,26,0.01,8
2025,July,3,Family ACCESS,800,Woburn,18,0.01,8
2025,August,3,Family ACCESS,5765,Arlington,14,0.01,58
2025,August,3,Family ACCESS,5765,Burlington,24,0.01,58
2025,August,3,Family ACCESS,5765,Lexington,4,0.01,58
2025,August,3,Family ACCESS,5765,Newton,11,0.25,1441
2025,August,3,Family ACCESS,5765,Waltham,13,0.7,4036
2025,August,3,Family ACCESS,5765,Wayland,25,0,0
